,0
0,Arkansas
1,Illinois
2,Indiana
3,Iowa
4,Kansas
5,Kentucky
6,Louisiana
7,Maine
8,Maryland
9,Massachusetts
10,Michigan
11,Minnesota
12,Mississippi
13,Missouri
14,Montana
15,Nebraska
16,Nevada
17,New Hampshire
18,New Mexico
19,North Carolina
20,North Dakota
21,Oklahoma
22,Oregon
23,Rhode Island
24,South Carolina
25,South Dakota
26,Tennessee
27,Utah
28,Vermont
29,West Virginia
30,Wisconsin
31,Wyoming
